id,area,lat,lng
1460,Туапсе,44.09957886,39.07928085
1647,Воткинск,57.05962753,54.03874207
2073,Серпухов,54.91712189,37.42476273
192,Туркестан,43.30194473,68.27037048
5457,Тайцы,59.66513824,30.11355972
80,Якутск,62.03110504,129.72291565
1691,Кстово,56.1461525,44.19818497
2075,Ступино,54.88690948,38.07837677
1361,Октябрьский (Республика Башкортостан),54.48438263,53.47279739
1225,Новоалтайск,53.40745163,83.94393921
1420,Ноябрьск,63.20163345,75.46026611
1296,Первоуральск,56.90480042,59.94166183
2653,Каскелен,43.20227051,76.62458038
4869,Магистральный,56.16769409,107.43572235
2049,Голицыно,55.61602783,36.98654175
1594,Сызрань,53.17397308,48.47620773
1581,Нижний Ломов,53.53251648,43.67835617
5046,Черногория,42.78687668,19.25169754
1300,Североуральск,60.16025543,59.93715668
2760,Бишкек,42.87778854,74.60668945
1395,Копейск,55.11290359,61.62203979
2069,Сергиев Посад,56.31013107,38.13402939
1924,Новомосковск (Тульская область),54.01007843,38.28731155
5083,Новый Уоян,56.14168167,111.73125458
2045,Ногинск,55.85413361,38.44114304
1360,Нефтекамск,56.09195709,54.23957825
194,Усть-Каменогорск,49.94844437,82.62747955
2059,Павловский Посад,55.77858353,38.65141296
4888,Хомутово (Иркутская область),52.4656868,104.36240387
1415,Губкинский,64.43378448,76.48980713
247,Дзержинск (Нижегородская область),56.242733,43.47246552
4252,Большой Исток,59.09999847,37.48300171
2813,Кутаиси,42.25,42.70000076
1590,Новокуйбышевск,53.09962845,49.94842148
1130,Братск,56.16770935,101.62294769
2700,Бахчисарай,44.75760651,33.86223221
1006,Гродно,53.67042542,23.82331085
2022,Воскресенск,55.32239151,38.6739502
205,Шымкент,42.31469727,69.5883255
2023,Дмитров,56.34259796,37.51897812
2042,Апрелевка,55.54523087,37.07326126
2033,Коломна,55.09566498,38.76544952
1335,Соликамск,59.64836121,56.7709198
146,Сербия,44.23060226,20.7939949
1531,Азов,47.09989929,39.41136551
1871,Малоярославец,55.00984955,36.46764755
1135,Нижнеудинск,54.90995026,99.02890015
5605,Новый Хушет,42.90229034,47.55851364
1490,Кисловодск,43.90552521,42.71547699
1787,Бологое,57.88560486,34.05326843
4732,Таврическое,54.58745193,73.63731384
2822,Боржоми,41.84780502,43.4050827
1095,Новоржев,57.0308609,29.33254814
1485,Ессентуки,44.04932404,42.85707474
5166,Верхний Баскунчак,48.22978973,46.7220993
200,Болгария,42.75815964,25.23507118
1381,Сургут,61.24982834,73.39154053
5015,Пойковский,60.99229431,71.90077972
1825,Старый Оскол,51.29663086,37.83509827
2451,Ноглики,51.80404282,143.15124512
1312,Макушино,55.20050049,67.25656128
1811,Переславль-Залесский,56.73905945,38.85972977
1627,Альметьевск,54.90065002,52.29627991
2096,Щербинка,55.50779724,37.56284714
249,Саров,54.93859482,43.32735825
5866,"Калтасы (Калтасинский район, Башкортостан)",55.96975708,54.78575516
2014,Сосновый Бор (Ленинградская область),59.90243149,29.06637001
1269,Верхняя Пышма,56.96545029,60.58012009
1546,Новошахтинск,47.78152847,39.9187851
1449,Кропоткин,45.43438721,40.57270432
114,Венгрия,47.1652832,19.41218948
1768,Шуя,56.85438156,41.38464355
248,Арзамас,55.39728928,43.83049393
74,Польша,52.12467194,19.40042686
1778,Нерехта,57.4602356,40.57230759
5128,Некрасовский (Московская область),56.12506104,37.51299286
1730,Муром,55.57618713,42.054142
2070,Хотьково,56.25252914,37.97883606
2058,Орехово-Зуево,55.79999924,38.96699905
208,ОАЭ,24.00024796,53.9994812
1266,Березовский (Свердловская область),56.91199875,60.79655075
1132,Железногорск-Илимский,56.5647316,104.12847137
235,Аргентина,-34.99649811,-64.96728516
1715,Шацк (Рязанская область),54.02544785,41.71206284
1931,Ясногорск,54.48628616,37.70923233
6299,Отеген-Батыр,43.41625595,77.01747894
1942,Облучье,49.01139832,131.05709839
1795,Конаково,56.68987274,36.76365662
1494,Невинномысск,44.62272644,41.94795227
1179,Мирный (Республика Саха (Якутия)),62.54065323,113.97836304
2020,Балашиха,55.79703903,37.93450546
1642,Нижнекамск,55.63312531,51.80914307
166,Жезказган,47.80434036,67.71456909
1143,Усть-Кут,56.79787827,105.76855469
1226,Рубцовск,51.50569153,81.19950867
1123,Северобайкальск,55.63591766,109.32308197
1014,Новодвинск,64.41197968,40.83148956
1569,Медногорск,51.40423965,57.59051514
